# x sin(systeme) approximation
0.433453 0.420007 0.420007
0.434709 0.421147 0.421147
0.435966 0.422286 0.422286
0.437222 0.423425 0.423425
0.438479 0.424563 0.424563
0.439735 0.4257 0.4257
0.440991 0.426836 0.426836
0.442248 0.427972 0.427972
0.443504 0.429107 0.429107
0.444761 0.430242 0.430242
0.446017 0.431376 0.431376
0.447273 0.432509 0.432509
0.44853 0.433641 0.433641
0.449786 0.434773 0.434773
0.451042 0.435904 0.435904
0.452299 0.437034 0.437034
0.453555 0.438164 0.438164
0.454812 0.439293 0.439293
0.456068 0.440421 0.440421
0.457324 0.441549 0.441549
0.458581 0.442676 0.442676
0.459837 0.443802 0.443802
0.461094 0.444928 0.444928
0.46235 0.446053 0.446053
0.463606 0.447177 0.447177
0.464863 0.4483 0.4483
0.466119 0.449423 0.449423
0.467376 0.450545 0.450545
0.468632 0.451666 0.451666
0.469888 0.452787 0.452787
0.471145 0.453907 0.453907
0.472401 0.455026 0.455026
0.473657 0.456144 0.456144
0.474914 0.457262 0.457262
0.47617 0.458379 0.458379
0.477427 0.459495 0.459495
0.478683 0.460611 0.460611
0.479939 0.461725 0.461725
0.481196 0.462839 0.462839
0.482452 0.463953 0.463953
0.483709 0.465065 0.465065
0.484965 0.466177 0.466177
0.486221 0.467288 0.467288
0.487478 0.468399 0.468399
0.488734 0.469509 0.469509
0.48999 0.470617 0.470617
0.491247 0.471726 0.471726
0.492503 0.472833 0.472833
0.49376 0.47394 0.47394
0.495016 0.475046 0.475046
0.496272 0.476151 0.476151
0.497529 0.477255 0.477255
0.498785 0.478359 0.478359
0.500042 0.479462 0.479462
0.501298 0.480564 0.480564
0.502554 0.481666 0.481666
0.503811 0.482766 0.482766
0.505067 0.483866 0.483866
0.506323 0.484965 0.484965
0.50758 0.486064 0.486064
0.508836 0.487161 0.487161
0.510093 0.488258 0.488258
0.511349 0.489354 0.489354
0.512605 0.490449 0.490449
0.513862 0.491544 0.491544
0.515118 0.492638 0.492638
0.516375 0.493731 0.493731
0.517631 0.494823 0.494823
0.518887 0.495914 0.495914
0.520144 0.497005 0.497005
0.5214 0.498095 0.498095
0.522656 0.499184 0.499184
0.523913 0.500272 0.500272
0.525169 0.501359 0.501359
0.526426 0.502446 0.502446
0.527682 0.503532 0.503532
0.528938 0.504617 0.504617
0.530195 0.505701 0.505701
0.531451 0.506785 0.506785
0.532708 0.507868 0.507868
0.533964 0.508949 0.508949
0.53522 0.510031 0.510031
0.536477 0.511111 0.511111
0.537733 0.51219 0.51219
0.53899 0.513269 0.513269
0.540246 0.514347 0.514347
0.541502 0.515424 0.515424
0.542759 0.5165 0.5165
0.544015 0.517576 0.517576
0.545271 0.51865 0.51865
0.546528 0.519724 0.519724
0.547784 0.520797 0.520797
0.549041 0.521869 0.521869
0.550297 0.52294 0.52294
0.551553 0.524011 0.524011
0.55281 0.525081 0.525081
0.554066 0.526149 0.526149
0.555323 0.527217 0.527217
0.556579 0.528285 0.528285
0.557835 0.529351 0.529351
0.559092 0.530416 0.530416
0.560348 0.531481 0.531481
0.561604 0.532545 0.532545
0.562861 0.533608 0.533608
0.564117 0.53467 0.53467
0.565374 0.535731 0.535731
0.56663 0.536792 0.536792
0.567886 0.537851 0.537851
0.569143 0.53891 0.53891
0.570399 0.539968 0.539968
0.571656 0.541025 0.541025
0.572912 0.542081 0.542081
0.574168 0.543137 0.543137
0.575425 0.544191 0.544191
0.576681 0.545245 0.545245
0.577937 0.546298 0.546298
0.579194 0.547349 0.547349
0.58045 0.5484 0.5484
0.581707 0.549451 0.549451
0.582963 0.5505 0.5505
0.584219 0.551548 0.551548
0.585476 0.552596 0.552596
0.586732 0.553643 0.553643
0.587989 0.554688 0.554688
0.589245 0.555733 0.555733
0.590501 0.556778 0.556778
0.591758 0.557821 0.557821
0.593014 0.558863 0.558863
0.59427 0.559904 0.559904
0.595527 0.560945 0.560945
0.596783 0.561985 0.561985
0.59804 0.563023 0.563023
0.599296 0.564061 0.564061
0.600552 0.565098 0.565098
0.601809 0.566134 0.566134
0.603065 0.56717 0.56717
0.604322 0.568204 0.568204
0.605578 0.569237 0.569237
0.606834 0.57027 0.57027
0.608091 0.571301 0.571301
0.609347 0.572332 0.572332
0.610603 0.573362 0.573362
0.61186 0.574391 0.574391
0.613116 0.575419 0.575419
0.614373 0.576446 0.576446
0.615629 0.577472 0.577472
0.616885 0.578497 0.578497
0.618142 0.579522 0.579522
0.619398 0.580545 0.580545
0.620655 0.581568 0.581568
0.621911 0.582589 0.582589
0.623167 0.58361 0.58361
0.624424 0.58463 0.58463
0.62568 0.585649 0.585649
0.626937 0.586667 0.586667
0.628193 0.587684 0.587684
0.629449 0.5887 0.5887
0.630706 0.589715 0.589715
0.631962 0.590729 0.590729
0.633218 0.591742 0.591742
0.634475 0.592755 0.592755
0.635731 0.593766 0.593766
0.636988 0.594776 0.594776
0.638244 0.595786 0.595786
0.6395 0.596795 0.596795
0.640757 0.597802 0.597802
0.642013 0.598809 0.598809
0.64327 0.599815 0.599815
0.644526 0.60082 0.60082
0.645782 0.601823 0.601823
0.647039 0.602826 0.602826
0.648295 0.603828 0.603828
0.649551 0.604829 0.604829
0.650808 0.605829 0.605829
0.652064 0.606828 0.606828
0.653321 0.607827 0.607827
0.654577 0.608824 0.608824
0.655833 0.60982 0.60982
0.65709 0.610815 0.610815
0.658346 0.611809 0.611809
0.659603 0.612803 0.612803
0.660859 0.613795 0.613795
0.662115 0.614787 0.614787
0.663372 0.615777 0.615777
0.664628 0.616766 0.616766
0.665884 0.617755 0.617755
0.667141 0.618742 0.618742
0.668397 0.619729 0.619729
0.669654 0.620714 0.620714
0.67091 0.621699 0.621699
0.672166 0.622683 0.622683
0.673423 0.623665 0.623665
